first_name;last_name;full_name;code;position;lettre
Chris;Silva;Chris Silva;silvach;PF;s
Christian;Wood;Christian Wood;woodch;PF;w
Chuma;Okeke;Chuma Okeke;okekech;PF;o
Clint;Capela;Clint Capela;capelcl;PF;c
Coby;White;Coby White;whiteco;PG;w
Cody;Martin;Cody Martin;martico;F;m
Cody;Zeller;Cody Zeller;zelleco;F;z
Cole;Anthony;Cole Anthony;anthoco;PG;a
Collin;Sexton;Collin Sexton;sextoco;PG;s
Cory;Joseph;Cory Joseph;josepco;PG;j
Cristiano;Felicio;Cristiano Felicio;feliccr;C;f
D.J.;Augustin;D.J. Augustin;augusd.;G;a
D.J.;Wilson;D.J. Wilson;wilsod.;F;w
Dakota;Mathias;Dakota Mathias;mathida;SG;m
Damian;Jones;Damian Jones;jonesda;PF;j
Damian;Lillard;Damian Lillard;lillada;G;l
Damion;Lee;Damion Lee;leeda;G;l
Damyean;Dotson;Damyean Dotson;dotsoda;SG;d
D'Angelo;Russell;D'Angelo Russell;russed';SG;r
Daniel;Gafford;Daniel Gafford;gaffoda;C;g
Daniel;Oturu;Daniel Oturu;oturuda;FC;o
Daniel;Theis;Daniel Theis;theisda;C;t
Danilo;Gallinari;Danilo Gallinari;gallida;SF;g
Danny;Green;Danny Green;greenda;SF;g
Dante;Exum;Dante Exum;exumda;PG;e
Danuel;House;Danuel House;houseda;F;h
DaQuan;Jeffries;DaQuan Jeffries;jeffrda;SF;j
Dario;Saric;Dario Saric;saricda;SF;s
Darius;Bazley;Darius Bazley;bazleda;PF;b
Darius;Garland;Darius Garland;garlada;G;g
Darius;Miller;Darius Miller;milleda;GF;m
David;Nwaba;David Nwaba;nwabada;G;n
Davis;Bertans;Davis Bertans;bertada;SF;b
De'Aaron;Fox;De'Aaron Fox;foxde;PG;f
Dean;Wade;Dean Wade;wadede;PF;w
Deandre;Ayton;Deandre Ayton;aytonde;C;a
DeAndre';Bembry;DeAndre' Bembry;bembrde;GF;b
De'Andre;Hunter;De'Andre Hunter;huntede;PF;h
DeAndre;Jordan;DeAndre Jordan;jordade;C;j
De'Anthony;Melton;De'Anthony Melton;meltode;SG;m
Deividas;Sirvydis;Deividas Sirvydis;sirvyde;GF;s
Dejounte;Murray;Dejounte Murray;murrade;SG;m
Delon;Wright;Delon Wright;wrighde;G;w
DeMar;DeRozan;DeMar DeRozan;derozde;GF;d
DeMarcus;Cousins;DeMarcus Cousins;couside;C;c
Deni;Avdija;Deni Avdija;avdijde;SG;a
Dennis;Schroder;Dennis Schroder;schrode;PG;s
Dennis;Smith;Dennis Smith;smithde;PG;s
Denzel;Valentine;Denzel Valentine;valende;F;v
Derrick;Favors;Derrick Favors;favorde;FC;f
Derrick;Jones;Derrick Jones;jonesde;SF;j
Derrick;Rose;Derrick Rose;rosede;PG;r
Derrick;White;Derrick White;whitede;G;w
Desmond;Bane;Desmond Bane;banede;SG;b
Devin;Booker;Devin Booker;bookede;SG;b
Devin;Vassell;Devin Vassell;vassede;SG;v
Devon;Dotson;Devon Dotson;dotsode;PG;d
Devontae;Cacok;Devontae Cacok;cacokde;PF;c
Devonte';Graham;Devonte' Graham;grahade;PG;g
Dillon;Brooks;Dillon Brooks;brookdi;F;b
Domantas;Sabonis;Domantas Sabonis;sabondo;PF;s
Donovan;Mitchell;Donovan Mitchell;mitchdo;SG;m
Donte;DiVincenzo;Donte DiVincenzo;divindo;SG;d
Dorian;Finney-Smith;Dorian Finney-Smith;finnedo;SF;f
Doug;McDermott;Doug McDermott;mcderdo;F;m
Draymond;Green;Draymond Green;greendr;F;g
Drew;Eubanks;Drew Eubanks;eubandr;C;e
Duncan;Robinson;Duncan Robinson;robindu;F;r
Dwayne;Bacon;Dwayne Bacon;bacondw;SF;b
Dwight;Howard;Dwight Howard;howardw;C;h
Dwight;Powell;Dwight Powell;poweldw;PF;p
Dylan;Windler;Dylan Windler;windldy;SF;w
Ed;Davis;Ed Davis;davised;PF;d
Edmond;Sumner;Edmond Sumner;sumneed;G;s
Elfrid;Payton;Elfrid Payton;paytoel;G;p
Elijah;Hughes;Elijah Hughes;hugheel;SF;h
Enes;Kanter;Enes Kanter;kanteen;F;k
Eric;Bledsoe;Eric Bledsoe;bledser;PG;b
Eric;Gordon;Eric Gordon;gordoer;G;g
Eric;Paschall;Eric Paschall;pascher;F;p
E'Twaun;Moore;E'Twaun Moore;mooree';SG;m
Evan;Fournier;Evan Fournier;fournev;SG;f
Facundo;Campazzo;Facundo Campazzo;campafa;PG;c
Frank;Jackson;Frank Jackson;jacksfr;SG;j
Frank;Kaminsky;Frank Kaminsky;kaminfr;F;k
Frank;Ntilikina;Frank Ntilikina;ntilifr;PG;n
Fred;VanVleet;Fred VanVleet;vanvlfr;G;v
Furkan;Korkmaz;Furkan Korkmaz;korkmfu;SG;k
