;full_name;Tm;POS;GS
371;Trey Burke;dal;PG;0.0
372;Willie Cauley-Stein;dal;C;0.0
373;Luka Doncic;dal;PG;1.0
374;Dorian Finney-Smith;dal;PF;1.0
375;Tim Hardaway;dal;SF;1.0
376;Maxi Kleber;dal;PF;0.0
377;Boban Marjanovic;dal;C;0.0
378;JaQuori McLaughlin;dal;PG;0.0
379;Jordan McLaughlin;min;PG;0.0
380;Frank Ntilikina;dal;PG;0.0
381;Eugene Omoruyi;dal;SF;0.0
382;Kristaps Porzingis;dal;C;1.0
383;Tyrell Terry;dal;PG;0.0
384;Nicolas Batum;lac;PF;0.0
385;Eric Bledsoe;lac;SG;1.0
386;Brandon Boston;lac;SG;0.0
387;Amir Coffey;lac;SG;0.0
388;Paul George;lac;SG;1.0
389;Isaiah Hartenstein;lac;C;0.0
390;Serge Ibaka;lac;C;0.0
391;Luke Kennard;lac;SG;0.0
392;Kawhi Leonard;lac;SF;0.0
393;Marcus Morris;lac;SF;1.0
394;Marcus Morris;lac;SF;1.0
395;Monte Morris;den;PG;1.0
396;Monte Morris;den;PG;1.0
397;Markieff Morris;mia;PF;1.0
398;Markieff Morris;mia;PF;1.0
399;Jason Preston;lac;PG;0.0
400;Jay Scrubb;lac;SG;0.0
401;Justise Winslow;lac;PF;0.0
402;Ivica Zubac;lac;C;1.0
403;Saddiq Bey;det;SF;1.0
404;Cade Cunningham;det;PG;1.0
405;Hamidou Diallo;det;SG;0.0
406;Luka Garza;det;C;0.0
407;Jerami Grant;det;SF;1.0
408;Cory Joseph;det;PG;0.0
409;Isaiah Livers;det;PF;0.0
410;Trey Lyles;det;PF;0.0
411;Rodney McGruder;det;SG;0.0
412;Kelly Olynyk;det;PF;0.0
413;Jamorko Pickett;det;PF;0.0
414;Isaiah Stewart;det;C;1.0
415;Charles Bassey;phi;C;0.0
416;Andre Drummond;phi;C;0.0
417;Joel Embiid;phi;C;1.0
418;Aaron Henry;phi;SF;0.0
419;Isaiah Joe;phi;SG;0.0
420;Furkan Korkmaz;phi;SG;0.0
421;Tyrese Maxey;phi;PG;1.0
422;Shake Milton;phi;SG;0.0
423;Georges Niang;phi;F;0.0
424;Paul Reed;phi;SF;0.0
425;Grant Riller;phi;G;0.0
426;Ben Simmons;phi;PG;0.0
427;Matisse Thybulle;phi;SG;0.0
428;Alex Caruso;chi;SG;0.0
429;Tyler Cook;chi;F;0.0
430;DeMar DeRozan;chi;SF;1.0
431;Ayo Dosunmu;chi;SG;0.0
432;Devon Dotson;chi;PG;0.0
433;Zach LaVine;chi;SG;1.0
434;Marko Simonovic;chi;C;0.0
435;Nikola Vucevic;chi;C;1.0
436;Mo Bamba;orl;C;1.0
437;Ignas Brazdeikis;orl;SF;0.0
438;Michael Carter-Williams;orl;PG;0.0
439;Markelle Fultz;orl;PG;0.0
440;R.J. Hampton;orl;PG;0.0
441;Jonathan Isaac;orl;PF;0.0
442;ETwaun Moore;orl;G;0.0
443;Mychal Mulder;orl;G;0.0
444;Chuma Okeke;orl;PF;0.0
445;Terrence Ross;orl;SG;0.0
446;Jalen Suggs;orl;SG;1.0
447;Jon Teske;orl;C;0.0
448;Sindarius Thornwell;orl;SG;0.0
449;Franz Wagner;orl;SF;1.0
450;Moritz Wagner;orl;C;1.0
451;Will Barton;den;SF;1.0
452;Bol Bol;den;C;0.0
453;Facundo Campazzo;den;PG;0.0
454;Vlatko Cancar;den;SF;0.0
455;Petr Cornelie;den;F;0.0
456;PJ Dozier;den;SG;0.0
457;Bones Hyland;den;PG;0.0
458;Nikola Jokic;den;C;1.0
459;Zeke Nnaji;den;PF;0.0
460;Austin Rivers;den;SG;0.0
461;RJ Barrett;ny;SG;1.0
462;Alec Burks;ny;SG;0.0
463;Evan Fournier;ny;SG;1.0
464;Taj Gibson;ny;C;0.0
465;Quentin Grimes;ny;SG;0.0
466;Kevin Knox;ny;SF;0.0
467;Miles McBride;ny;PG;0.0
468;Nerlens Noel;ny;C;0.0
469;Immanuel Quickley;ny;SG;0.0
470;Julius Randle;ny;PF;1.0
471;Derrick Rose;ny;PG;0.0
472;Luka Samanic;ny;PF;0.0
473;Wayne Selden;ny;F;0.0
474;Jericho Sims;ny;PF;0.0
475;Obi Toppin;ny;PF;0.0
476;Luca Vildoza;ny;PG;0.0
477;Precious Achiuwa;tor;PF;1.0
478;OG Anunoby;tor;SF;1.0
479;Dalano Banton;tor;PG;0.0
480;Khem Birch;tor;C;0.0
481;Isaac Bonga;tor;G;0.0
482;Chris Boucher;tor;PF;0.0
483;Justin Champagnie;tor;SF;0.0
484;Sam Dekker;tor;F;0.0
485;Goran Dragic;tor;PG;0.0
486;Malachi Flynn;tor;PG;0.0
487;Svi Mykhailiuk;tor;SG;0.0
488;Pascal Siakam;tor;PF;1.0
489;Gary Trent;tor;SG;1.0
490;Fred VanVleet;tor;SG;1.0
491;Yuta Watanabe;tor;SF;0.0
492;Malik Beasley;min;SG;0.0
493;Patrick Beverley;min;PG;0.0
494;Leandro Bolmaro;min;SG;0.0
495;Nathan Knight;min;F;0.0
496;Jake Layman;min;SF;0.0
497;Jaylen Nowell;min;SG;0.0
498;Josh Okogie;min;SF;0.0
499;Taurean Prince;min;PF;0.0
500;Naz Reid;min;C;0.0
501;DAngelo Russell;min;PG;1.0
502;Karl-Anthony Towns;min;C;1.0
503;Jarred Vanderbilt;min;PF;1.0
504;Tacko Fall;cle;C;0.0
505;Darius Garland;cle;PG;1.0
506;Kevin Love;cle;PF;0.0
507;Lauri Markkanen;cle;PF;1.0
508;Evan Mobley;cle;C;1.0
509;RJ Nembhard;cle;SG;0.0
510;Isaac Okoro;cle;SF;0.0
511;Cedi Osman;cle;SF;0.0
512;Kevin Pangos;cle;G;0.0
513;Ricky Rubio;cle;PG;0.0
514;Collin Sexton;cle;PG;1.0
515;Lamar Stevens;cle;F;0.0
516;Denzel Valentine;cle;SG;0.0
517;Dean Wade;cle;PF;0.0
518;Dylan Windler;cle;SG;0.0
519;Deni Avdija;wsh;SF;0.0
520;Joel Ayayi;wsh;G;0.0
521;Bradley Beal;wsh;SG;1.0
522;Davis Bertans;wsh;SF;0.0
523;Thomas Bryant;wsh;C;0.0
524;Kentavious Caldwell-Pope;wsh;SG;1.0
525;Spencer Dinwiddie;wsh;PG;1.0
526;Daniel Gafford;wsh;C;1.0
527;Anthony Gill;wsh;PF;0.0
528;Rui Hachimura;wsh;PF;1.0
529;Montrezl Harrell;wsh;C;0.0
530;Corey Kispert;wsh;SF;0.0
531;Kyle Kuzma;wsh;SF;0.0
532;Raul Neto;wsh;PG;0.0
533;Isaiah Todd;wsh;PF;0.0
534;Cassius Winston;wsh;PG;0.0
535;Steven Adams;mem;C;1.0
536;Santi Aldama;mem;PF;0.0
537;Kyle Anderson;mem;SF;0.0
538;Desmond Bane;mem;SG;1.0
539;Brandon Clarke;mem;PF;0.0
540;Jarrett Culver;mem;G;0.0
541;John Konchar;mem;SG;0.0
542;DeAnthony Melton;mem;SG;0.0
543;Sam Merrill;mem;SG;0.0
544;Ja Morant;mem;PG;1.0
545;Yves Pons;mem;SG;0.0
546;Killian Tillie;mem;C;0.0
547;Xavier Tillman;mem;C;0.0
548;Bam Adebayo;mia;C;1.0
549;Dewayne Dedmon;mia;C;0.0
550;Marcus Garrett;mia;SG;0.0
551;Udonis Haslem;mia;PF;0.0
552;Tyler Herro;mia;PG;0.0
553;Kyle Lowry;mia;PG;1.0
554;KZ Okpala;mia;SF;0.0
555;Victor Oladipo;mia;SG;0.0
556;Max Strus;mia;SG;0.0
557;PJ Tucker;mia;PF;1.0
558;Gabe Vincent;mia;PG;0.0
559;Omer Yurtseven;mia;C;0.0
