;Key;annee;cluster
578;Fred VanVleet;2022;3
579;Freddie Gillespie;2021;1
580;Freddie Gillespie;2022;0
581;Furkan Korkmaz;2020;1
582;Furkan Korkmaz;2021;3
583;Furkan Korkmaz;2022;4
584;Gabe Vincent;2020;4
585;Gabe Vincent;2021;4
586;Gabe Vincent;2022;1
587;Gabriel Deck;2021;1
588;Garrett Temple;2020;1
589;Garrett Temple;2021;1
590;Garrett Temple;2022;4
591;Garrison Mathews;2020;4
592;Garrison Mathews;2021;1
593;Garrison Mathews;2022;3
594;Gary Clark;2020;4
595;Gary Clark;2021;4
596;Gary Clark;2022;4
597;Gary Harris;2020;1
598;Gary Harris;2021;3
599;Gary Harris;2022;3
600;Gary Trent;2020;4
601;Gary Trent;2021;3
602;Gary Trent;2022;1
603;George Hill;2020;1
604;George Hill;2021;3
605;George Hill;2022;0
606;Georges Niang;2020;4
607;Georges Niang;2021;4
608;Georges Niang;2022;4
609;Giannis Antetokounmpo;2020;3
610;Giannis Antetokounmpo;2021;3
611;Giannis Antetokounmpo;2022;1
612;Goga Bitadze;2020;4
613;Goga Bitadze;2021;4
614;Goga Bitadze;2022;0
615;Goran Dragic;2020;4
616;Goran Dragic;2021;4
617;Goran Dragic;2022;1
618;Gordon Hayward;2020;1
619;Gordon Hayward;2021;1
620;Gordon Hayward;2022;3
621;Gorgui Dieng;2020;4
622;Gorgui Dieng;2021;4
623;Gorgui Dieng;2022;0
624;Grant Williams;2020;1
625;Grant Williams;2021;4
626;Grant Williams;2022;4
627;Grayson Allen;2020;4
628;Grayson Allen;2021;3
629;Grayson Allen;2022;3
630;Greg BrownI;2022;1
631;Hamidou Diallo;2020;4
632;Hamidou Diallo;2021;4
633;Hamidou Diallo;2022;1
634;Harrison Barnes;2020;1
635;Harrison Barnes;2021;1
636;Harrison Barnes;2022;3
637;Harry GilesI;2020;0
638;Harry GilesI;2021;0
639;Hassan Whiteside;2020;1
640;Hassan Whiteside;2021;4
641;Hassan Whiteside;2022;4
642;Hassani Gravett;2022;1
643;Herbert Jones;2022;1
644;Ignas Brazdeikis;2020;2
645;Ignas Brazdeikis;2021;0
646;Ignas Brazdeikis;2022;0
647;Immanuel Quickley;2021;4
648;Immanuel Quickley;2022;4
649;Isaac Bonga;2020;3
650;Isaac Bonga;2021;4
651;Isaac Bonga;2022;0
652;Isaac Okoro;2021;1
653;Isaac Okoro;2022;3
654;Isaiah Hartenstein;2020;4
655;Isaiah Hartenstein;2021;0
656;Isaiah Hartenstein;2022;0
657;Isaiah Jackson;2022;0
658;Isaiah Joe;2021;4
659;Isaiah Joe;2022;4
660;Isaiah Roby;2020;2
661;Isaiah Roby;2021;4
662;Isaiah Roby;2022;4
663;Isaiah Stewart;2021;4
664;Isaiah Stewart;2022;1
665;Isaiah Todd;2022;0
666;Ish Smith;2020;1
667;Ish Smith;2021;4
668;Ish Smith;2022;4
669;Ish Wainright;2022;0
670;Ivica Zubac;2020;1
671;Ivica Zubac;2021;1
672;Ivica Zubac;2022;1
673;JJ Redick;2020;3
674;JJ Redick;2021;0
675;JT Thor;2022;4
676;Ja Morant;2020;3
