;advers;age;cluster
684;Shuai Peng;33.054072553000005;10
685;Shuai Peng;33.6290212183;10
686;Shuai Peng;33.015742642;10
687;Shuai Peng;33.724845995900004;10
688;Shuai Peng;33.993155373;10
689;Shuai Peng;34.0889801506;10
690;Shuai Peng;33.993155373;10
691;Shuai Peng;34.0314852841;10
692;Shuai Peng;34.0889801506;10
693;Jelena Jankovic;28.643394935;3
694;Jelena Jankovic;28.643394935;3
695;Jelena Jankovic;28.643394935;3
696;Jelena Jankovic;30.962354551700006;3
697;Jelena Jankovic;30.981519507199998;3
698;Jelena Jankovic;31.5564681725;10
699;Jelena Jankovic;31.5564681725;10
700;Jelena Jankovic;31.5564681725;10
701;Jelena Jankovic;31.5564681725;10
702;Jelena Jankovic;31.4223134839;10
703;Jelena Jankovic;31.613963039;10
704;Jelena Jankovic;31.613963039;10
705;Jelena Jankovic;31.613963039;10
706;Jelena Jankovic;31.575633128000003;10
707;Jelena Jankovic;31.575633128000003;10
708;Jelena Jankovic;31.288158795300003;10
709;Jelena Jankovic;31.288158795300003;10
710;Jelena Jankovic;31.288158795300003;10
711;Jelena Jankovic;31.3264887064;10
712;Jelena Jankovic;31.498973306;10
713;Jelena Jankovic;30.8856947296;3
714;Jelena Jankovic;30.866529774099998;3
715;Jelena Jankovic;31.019849418200003;3
