;full_name;Tm;minutes;cluster_c;cluster_def;age;FGA_moy;TOV_moy;PF_moy;Prod_mean_opp;POS;GS;code
118;Derrick White;sa;29.6;0.0;3.0;27.0;11.8;1.6;2.2666666666666666;0.359700797690282;PG;1;PGsa1
119;Desmond Bane;mem;28.448275862068964;2.0;4.0;23.0;14.275862068965518;1.5517241379310345;2.3793103448275863;0.3440666023151919;SG;1;SGmem1
120;Devin Booker;pho;31.56;3.0;3.0;24.96;19.04;2.56;2.4;0.460757860298127;SG;1;SGpho1
121;Devin Vassell;sa;24.689655172413794;0.0;0.0;21.0;9.793103448275861;0.5862068965517241;2.0344827586206895;0.23307583172300972;SG;0;SGsa0
122;Devon Dotson;chi;7.5;3.0;1.0;22.0;1.8333333333333333;0.5;0.5;0.4151515151515151;PG;0;PGchi0
123;Devontae Cacok;sa;11.5;0.0;2.0;25.0;3.25;0.25;1.75;2.058562555456965;PF;0;PFsa0
124;Devonte Graham;no;32.0;2.0;0.0;26.0;12.0;2.0;2.0;0.16908110539090326;PG;1;PGno1
125;Dewayne Dedmon;mia;18.0;2.0;1.0;32.0;5.076923076923077;1.0;2.3846153846153846;0.4941392401261399;C;0;Cmia0
126;Dillon Brooks;mem;29.11764705882353;2.0;4.0;25.0;17.11764705882353;2.0588235294117645;3.4705882352941178;0.2859163140977526;SF;0;SFmem0
127;Domantas Sabonis;ind;35.21739130434783;3.0;4.0;25.0;12.391304347826088;3.0434782608695654;3.217391304347826;0.6524463298244091;PF;0;PFind0
128;Donovan Mitchell;utah;32.714285714285715;2.0;3.0;25.0;20.071428571428573;2.857142857142857;2.392857142857143;0.3934074275087815;SG;1;SGutah1
129;Donte DiVincenzo;mil;18.666666666666668;3.0;;24.0;7.333333333333333;2.0;2.3333333333333335;-0.008319906910132473;SG;0;SGmil0
130;Dorian Finney-Smith;dal;31.307692307692307;2.0;4.0;28.0;8.884615384615385;1.0769230769230769;2.423076923076923;0.2268414474696912;PF;1;PFdal1
131;Doug McDermott;sa;23.9;0.0;4.0;29.05;9.2;0.75;1.5;0.16700014084822945;SF;1;SFsa1
132;Draymond Green;gs;29.45;2.0;3.0;31.0;5.95;3.4;2.65;0.5013025445815628;PF;1;PFgs1
133;Draymond Green;gs;29.45;2.0;3.0;31.0;5.95;3.4;2.65;0.5013025445815628;PF;1;PFgs1
134;Draymond Green;gs;29.45;2.0;3.0;31.0;5.95;3.4;2.65;0.5013025445815628;PF;1;PFgs1
135;Draymond Green;gs;29.45;2.0;3.0;31.0;5.95;3.4;2.65;0.5013025445815628;PF;1;PFgs1
136;Drew Eubanks;sa;11.964285714285714;0.0;1.0;24.0;3.392857142857143;0.9285714285714286;1.3214285714285714;0.49463683022216637;PF;0;PFsa0
137;Duncan Robinson;mia;26.06451612903226;2.0;3.0;27.0;9.935483870967742;0.7096774193548387;2.4193548387096775;0.04975781281740793;SG;0;SGmia0
138;Duncan Robinson;mia;26.06451612903226;2.0;3.0;27.0;9.935483870967742;0.7096774193548387;2.4193548387096775;0.04975781281740793;SG;0;SGmia0
139;Dwight Howard;lal;16.26086956521739;0.0;2.0;35.391304347826086;3.608695652173913;0.8260869565217391;2.260869565217391;0.5615587375454806;C;0;Clal0
140;Dwight Powell;dal;19.694444444444443;2.0;4.0;30.0;4.277777777777778;0.75;2.2777777777777777;0.3908142203349026;C;0;Cdal0
141;Dylan Windler;cle;10.476190476190476;3.0;2.0;25.0;2.5714285714285716;0.42857142857142855;1.0952380952380953;0.18972302499088212;SG;0;SGcle0
142;Ed Davis;cle;8.714285714285714;3.0;2.0;32.0;0.8571428571428571;0.42857142857142855;1.2857142857142858;0.1483360080042002;C;0;Ccle0
143;Elfrid Payton;pho;11.8125;3.0;1.0;27.0;4.0625;1.1875;1.25;0.2807079018476077;PG;0;PGpho0
144;Elijah Hughes;utah;8.0;2.0;1.0;23.0;2.7142857142857144;0.5714285714285714;0.5714285714285714;-0.2083333333333333;SF;0;SFutah0
145;Enes Kanter;;12.590909090909092;;2.0;29.0;2.772727272727273;0.6363636363636364;1.4090909090909092;0.5357684915458024;;0;nannan0
146;Eric Bledsoe;lac;25.58823529411765;3.0;0.0;31.470588235294116;8.647058823529411;2.2058823529411766;1.4705882352941178;0.28779697499646895;SG;0;SGlac0
147;Eric Gordon;hou;29.15625;0.0;4.0;32.1875;10.34375;2.4375;1.125;0.31706111191886416;SG;0;SGhou0
148;Eric Gordon;hou;29.15625;0.0;4.0;32.1875;10.34375;2.4375;1.125;0.31706111191886416;SG;0;SGhou0
149;Eric Paschall;utah;9.75;2.0;2.0;24.75;2.5;0.75;0.75;0.2571357128710069;PF;0;PFutah0
150;Evan Fournier;ny;28.0;3.0;3.0;28.864864864864863;11.837837837837839;1.3513513513513513;1.945945945945946;0.13368647795291191;SG;1;SGny1
151;Evan Mobley;cle;33.65714285714286;3.0;4.0;20.0;12.142857142857142;1.8;2.085714285714286;0.476120603651408;C;1;Ccle1
152;Facundo Campazzo;den;20.967741935483872;2.0;1.0;30.0;5.419354838709677;1.1935483870967742;2.129032258064516;0.18589739977714012;PG;0;PGden0
153;Frank Jackson;det;23.36842105263158;3.0;1.0;23.0;10.31578947368421;1.0;2.1052631578947367;0.05278746446714077;PG;0;PGdet0
154;Frank Jackson;det;23.36842105263158;3.0;1.0;23.0;10.31578947368421;1.0;2.1052631578947367;0.05278746446714077;PG;0;PGdet0
155;Frank Kaminsky;pho;23.333333333333332;3.0;1.0;28.0;9.0;0.6666666666666666;2.0;0.5847366454452696;PF;0;PFpho0
156;Franz Wagner;orl;31.285714285714285;3.0;3.0;20.0;13.114285714285714;1.6;2.057142857142857;0.3315573384951857;SF;1;SForl1
157;Fred VanVleet;tor;37.806451612903224;3.0;3.0;27.0;17.29032258064516;2.5161290322580645;2.6451612903225805;0.38915375355514736;SG;1;SGtor1
158;Freddie Gillespie;orl;12.428571428571429;3.0;2.0;24.0;2.2857142857142856;0.42857142857142855;1.5714285714285714;0.2855921855921855;SF;0;SForl0
159;Furkan Korkmaz;phi;23.575757575757574;3.0;4.0;24.0;8.484848484848484;0.8181818181818182;1.0;0.20197556186621043;SG;0;SGphi0
160;Gabe Vincent;mia;23.3;2.0;1.0;25.0;8.1;1.5;2.05;0.21401207358718338;PG;0;PGmia0
161;Gabriel Deck;;4.25;;;26.0;1.25;0.25;0.0;0.44251700680272105;;0;nannan0
162;Garrett Temple;no;20.612903225806452;2.0;1.0;35.0;5.516129032258065;0.8064516129032258;1.967741935483871;0.1081946992224664;SF;0;SFno0
163;Garrison Mathews;hou;27.166666666666668;0.0;3.0;25.0;8.166666666666666;0.625;3.0;0.09700399360537931;SG;0;SGhou0
164;Gary Clark;no;10.5;2.0;;27.0;2.375;0.0;0.125;0.3492530345471523;F;0;Fno0
165;Gary Harris;orl;29.741935483870968;3.0;3.0;27.0;10.03225806451613;1.1935483870967742;1.967741935483871;0.14004134333537188;SG;0;SGorl0
166;Gary Trent;tor;33.12;3.0;1.0;22.0;14.6;0.8;2.28;0.19901691095201954;SG;1;SGtor1
167;George Hill;mil;27.0;3.0;2.0;35.0;5.0;0.0;0.0;0.2258020436656468;PG;0;PGmil0
168;Georges Niang;phi;17.4;3.0;1.0;28.0;5.6;0.4;1.6;0.140823893785443;SF;0;SFphi0
169;Giannis Antetokounmpo;mil;32.45;3.0;4.0;26.35;18.2;3.4;3.05;0.8469404118512396;PF;1;PFmil1
170;Goga Bitadze;ind;8.444444444444445;3.0;2.0;22.0;3.3333333333333335;0.3888888888888889;1.2777777777777777;0.12764736329314336;C;0;Cind0
171;Goran Dragic;tor;18.5;3.0;4.0;35.0;7.0;0.25;1.75;0.26002331002331003;PG;0;PGtor0
172;Gordon Hayward;cha;32.705882352941174;0.0;3.0;31.0;13.117647058823529;1.6764705882352942;1.6176470588235294;0.39227492987683205;SF;1;SFcha1
173;Gorgui Dieng;atl;10.380952380952381;0.0;1.0;31.0;3.142857142857143;0.5714285714285714;1.8571428571428572;0.427381399962045;C;0;Catl0
174;Grant Williams;bos;22.545454545454547;3.0;1.0;22.40909090909091;5.363636363636363;0.6818181818181818;2.1363636363636362;0.18207084455688657;PF;0;PFbos0
175;Grayson Allen;mil;28.46875;3.0;3.0;26.0;9.84375;0.6875;1.4375;0.20111148047784957;SG;1;SGmil1
176;Grayson Allen;mil;28.46875;3.0;3.0;26.0;9.84375;0.6875;1.4375;0.20111148047784957;SG;1;SGmil1
177;Greg BrownI;por;4.538461538461538;3.0;4.0;20.0;2.0;0.3076923076923077;0.6153846153846154;0.11534462269756385;PF;0;PFpor0
178;Hamidou Diallo;det;21.451612903225808;3.0;4.0;23.0;8.806451612903226;1.064516129032258;2.3870967741935485;0.38404618286143277;SG;0;SGdet0
179;Harrison Barnes;sac;32.29032258064516;0.0;3.0;29.0;10.64516129032258;1.6129032258064515;1.4193548387096775;0.3781139711019321;SF;1;SFsac1
180;Harrison Barnes;sac;32.29032258064516;0.0;3.0;29.0;10.64516129032258;1.6129032258064515;1.4193548387096775;0.3781139711019321;SF;1;SFsac1
181;Hassan Whiteside;utah;15.793103448275861;2.0;2.0;32.0;5.172413793103448;0.9655172413793104;2.8275862068965516;0.6343567458370089;C;0;Cutah0
182;Herbert Jones;no;27.733333333333334;2.0;3.0;23.0;6.6;1.0;3.033333333333333;0.26393122287283677;SF;0;SFno0
183;Ignas Brazdeikis;orl;8.153846153846153;3.0;2.0;22.153846153846153;2.3846153846153846;0.15384615384615385;0.7692307692307693;-0.10220237040412476;SF;0;SForl0
184;Immanuel Quickley;ny;21.82857142857143;3.0;1.0;22.0;8.771428571428572;1.2857142857142858;2.142857142857143;0.142540796782653;SG;0;SGny0
185;Isaac Bonga;tor;3.0;3.0;2.0;22.0;0.0;0.0;1.0;0.08395846577664763;G;0;Gtor0
186;Isaac Okoro;cle;26.82608695652174;3.0;3.0;20.0;7.043478260869565;1.0869565217391304;2.5652173913043477;0.17359592416521252;SF;0;SFcle0
187;Isaiah Hartenstein;lac;16.083333333333332;3.0;2.0;23.0;4.75;0.9583333333333334;2.6666666666666665;0.6633947797865143;C;0;Clac0
188;Isaiah Jackson;ind;5.714285714285714;3.0;2.0;19.285714285714285;1.8571428571428572;0.0;0.7142857142857143;0.46212121212121204;F;0;Find0
189;Isaiah Jackson;ind;5.714285714285714;3.0;2.0;19.285714285714285;1.8571428571428572;0.0;0.7142857142857143;0.46212121212121204;F;0;Find0
190;Isaiah Joe;phi;11.608695652173912;3.0;4.0;22.0;3.8260869565217392;0.34782608695652173;0.8260869565217391;-0.033667954868174095;SG;0;SGphi0
191;Isaiah Roby;okc;15.285714285714286;3.0;1.0;23.0;5.571428571428571;1.0;1.6428571428571428;0.3741197845364513;F;0;Fokc0
192;Isaiah Stewart;det;24.24137931034483;3.0;4.0;20.0;6.310344827586207;1.4137931034482758;2.7241379310344827;0.40249069434967144;C;1;Cdet1
193;Ish Smith;cha;15.470588235294118;0.0;1.0;33.0;6.352941176470588;1.3529411764705883;1.1176470588235294;0.2531106242362747;PG;0;PGcha0
194;Ish Wainright;pho;6.214285714285714;3.0;2.0;27.0;2.142857142857143;0.35714285714285715;1.3571428571428572;-0.2524210357543692;F;0;Fpho0
195;Ivica Zubac;lac;23.555555555555557;3.0;4.0;24.0;5.333333333333333;1.25;2.388888888888889;0.558425584578264;C;1;Clac1
196;JT Thor;cha;11.0;0.0;1.0;19.0;2.8333333333333335;0.5;2.0;0.030157001072033732;PF;0;PFcha0
197;Ja Morant;mem;31.821428571428573;2.0;3.0;22.0;18.928571428571427;3.392857142857143;1.3571428571428572;0.6345116304679029;PG;1;PGmem1
